Weedsps,Rate,Rateunit,RateM,RateunitM,Trt,Rep,Herbicide,DAT,Control,BM
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Malathion,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Malathion,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Malathion,21,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,2,1,Malathion,21,30,30
Waterhemp,3,fl oz/A,105,g AE/ha,2,2,Malathion,21,20,35
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,Malathion,21,20,40
Waterhemp,6,fl oz/A,210,g AE/ha,3,1,Malathion,21,30,40
Waterhemp,6,fl oz/A,210,g AE/ha,3,2,Malathion,21,20,30
Waterhemp,6,fl oz/A,210,g AE/ha,3,3,Malathion,21,80,70
Waterhemp,12,fl oz/A,420,g AE/ha,4,1,Malathion,21,70,71
Waterhemp,12,fl oz/A,420,g AE/ha,4,2,Malathion,21,65,70
Waterhemp,12,fl oz/A,420,g AE/ha,4,3,Malathion,21,70,60
Waterhemp,24,fl oz/A,840,g AE/ha,5,1,Malathion,21,95,81
Waterhemp,24,fl oz/A,840,g AE/ha,5,2,Malathion,21,85,85
Waterhemp,24,fl oz/A,840,g AE/ha,5,3,Malathion,21,90,76
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Callisto,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Callisto,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Callisto,21,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,2,1,Callisto,21,40,35
Waterhemp,3,fl oz/A,105,g AE/ha,2,2,Callisto,21,20,40
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,Callisto,21,40,30
Waterhemp,6,fl oz/A,210,g AE/ha,3,1,Callisto,21,40,43
Waterhemp,6,fl oz/A,210,g AE/ha,3,2,Callisto,21,30,45
Waterhemp,6,fl oz/A,210,g AE/ha,3,3,Callisto,21,50,50
Waterhemp,12,fl oz/A,420,g AE/ha,4,1,Callisto,21,70,70
Waterhemp,12,fl oz/A,420,g AE/ha,4,2,Callisto,21,85,70
Waterhemp,12,fl oz/A,420,g AE/ha,4,3,Callisto,21,70,75
Waterhemp,24,fl oz/A,840,g AE/ha,5,1,Callisto,21,85,80
Waterhemp,24,fl oz/A,840,g AE/ha,5,2,Callisto,21,85,85
Waterhemp,24,fl oz/A,840,g AE/ha,5,3,Callisto,21,80,83
