Biotype,h,rep,y
R,12,4,96.43137255
R,12,3,75.19230769
R,12,2,109.8172589
R,12,1,93.8136
R,24,8,13.62017804
R,24,7,10.10626993
R,24,6,20.20084567
R,24,5,27.18994778
R,72,12,0.342502697
R,72,11,4.009314141
R,72,10,7.956490728
R,72,9,2.767349261
R,168,16,0.259391771
R,168,15,0.077967807
R,168,14,0
R,168,13,1.219048
R,336,20,1.320313
R,336,19,0
R,336,18,0
R,336,17,0
S,12,4,107.507485
S,12,3,104.3186583
S,12,2,122.0592287
S,12,1,111.29
S,24,8,54.9691358
S,24,7,62.86644951
S,24,6,70.88062622
S,24,5,75.69915254
S,72,12,18.36
S,72,11,23.81254169
S,72,10,13.69203329
S,72,9,17.5781729
S,168,16,23.53896104
S,168,15,8.022165388
S,168,14,16.36306533
S,168,13,9.173228346
Malathion,12,1,64.77795
Malathion,12,2,34.26966
Malathion,12,3,57.07835
Malathion,12,4,47.11715
Malathion,24,5,8.615451
Malathion,24,6,12.88925
Malathion,24,7,15.66599
Malathion,24,8,6.812249
Malathion,72,9,1.893876
Malathion,72,10,3.289261
Malathion,72,11,3.426748
Malathion,72,12,14.31373
Malathion,168,13,1.211306
Malathion,168,14,3.28614
Malathion,168,15,1.891144
Malathion,168,16,3.597222
Malathion,336,17,39.83333
Malathion,336,18,-0.23346
Malathion,336,19,-0.18721
Malathion,336,20,-0.03557
Amitrole,12,1,39.73054
Amitrole,12,2,47.56993
Amitrole,12,3,30.29549
Amitrole,12,4,55.19066
Amitrole,24,5,40.0149
Amitrole,24,6,16.79375
Amitrole,24,7,23.00403
Amitrole,24,8,27.51744
Amitrole,72,9,2.573529
Amitrole,72,10,7.597968
Amitrole,72,11,4.113082
Amitrole,72,12,2.852963
Amitrole,168,13,1.234684
Amitrole,168,14,0.64612
Amitrole,168,15,0.106973
Amitrole,168,16,0.39783
Amitrole,336,17,-0.03896
Amitrole,336,18,14.62264
Amitrole,336,19,-0.32051
Amitrole,336,20,10.31646
PBO,12,1,118.7303
PBO,12,2,177.8846
PBO,12,3,140.8846
PBO,12,4,121.47993
PBO,24,5,34.17108
PBO,24,6,42.39348
PBO,24,7,22.93762
PBO,24,8,31.8359
PBO,72,9,5.351833
PBO,72,10,6.431573
PBO,72,11,3.502513
PBO,72,12,4.232143
PBO,168,13,1.799599
PBO,168,14,1.465374
PBO,168,15,0.659614
PBO,168,16,0.466814
PBO,336,17,0.456491
PBO,336,18,11.56522
PBO,336,19,0.34101
PBO,336,20,0.430006
